Scheme Code,ISIN
150404,INF194KB1DJ2
146193,INF754K01JJ4
100379,INF204K01398
150857,INF582M01IP4
118419,INF194K01V89
149449,INF0K1H01016
151377,INF00XX01CL3
117619,INF109K01E43
149382,INF846K016E3
143798,INF959L01EC3
152005,INF397L01JP7
154042,INF2JJD01151
120466,INF846K01DN3
118675,INF204K01E96
140226,INF843K01021
151917,INF0J8L01156
118651,INF204K01D55
148506,
153196,INF769K01NJ4
149182,INF174KA1HS9
101066,INF966L01150
101636,INF740K01227
151446,INF761K01FT6
148983,INF761K01FN9
134960,INF192K01JN9
102000,INF179K01BE2
134955,INF192K01JP4
120564,INF209K01XX1
153515,INF789F1AB89
153644,INF0GCD01834
103234,INF174K01187
148989,INF109KC1Q80
118825,INF769K01AX2
119292,INF582M01633
120029,INF336L01CK1
149303,INF194KB1CL0
150441,INF966L01AW4
153198,INF769K01NG0
154114,INF0K1H01313
154103,INF666M01NN0
138313,INF663L01GS2
119349,INF761K01678
152072,INF03VN01795
103819,INF740K01094
151445,INF761K01FU4
120840,INF966L01861
149103,INF174V01AU8
146549,INF174V01721
147183,INF00XX01168
119436,INF209K01VH8
102252,INF336L01AF5
104907,INF174K01DU5
154269,INF2F0001537
147751,INF582M01GC6
152354,INF247L01CE3
119775,INF174K01LT0
152937,INF0GCD01826
148074,INF582M01GK9
144315,INF761K01EL6
102020,INF955L01674
120828,INF966L01689
119620,INF209K01Q30
102393,INF789F01794
104908,INF174K01DS9
153729,INF761K01GZ1
142109,INF174V01473
152226,INF03VN01845
143797,INF959L01EA7
150440,INF966L01AT0
151821,INF760K01KR2
106144,INF205K01247
143790,INF959L01EH2
151824,INF760K01KO9
106240,INF204K01554
149765,INF205KA1486
118954,INF179K01VL5
150349,INF03VN01555
119585,INF200K01QV8
151034,INF917K01254
119528,INF209K01YY7
150388,INF251K01RA3
153859,INF22M001093
101763,INF179K01582
150818,INF760K01KK7
153098,INF666M01JE7
154155,INF879O01332
120565,INF209KA1LE0
150402,INF194KB1DM6
120264,INF767K01EG3
100034,INF209K01157
134957,INF192K01JR0
149032,INF663L01W48
154225,INF0S5R01133
150583,INF03VN01563
149666,INF173K01957
100473,INF090I01809
102036,INF277K01EG3
118532,INF090I01FI7
133838,INF663L01FK1
118884,INF044D01BV7
134961,INF192K01JS8
153611,INF0QA701BO0
102326,INF277K01DS0
143789,INF959L01EF6
106822,INF109K01FA8
151414,INF769K01JG8
125306,INF663L01EA5
152614,INF192K01NH3
148406,INF761K01FE8
151918,INF0J8L01164
150855,INF582M01IS8
119717,INF200K01UE6
127044,INF247L01460
120268,INF767K01EI9
118778,INF204K01K15
118509,INF090I01IL5
152740,INF090I01WY9
152002,INF397L01JK8
118420,INF194K01V97
151233,
144546,INF277K015K0
151822,INF760K01KQ4
107353,INF205K01DN2
113178,INF204K01HZ0
148071,INF582M01GM5
150571,INF903JA1LE2
120381,INF109K011N7
149764,INF205KA1452
101922,INF760K01019
148474,INF955L01JU2
140356,INF843K01KO3
151812,INF769K01KH4
118676,INF204K01F04
120586,INF109K016L0
127039,INF247L01411
151413,INF769K01JI4
146548,INF174V01713
120598,INF109K012O3
148073,INF582M01GI3
118278,INF760K01EI4
152944,INF0R8701244
150186,INF251K01910
143795,INF959L01EN0
108799,INF194K01516
150816,INF760K01KL5
119354,INF955L01AG0
153912,INF0R8701384
151236,
100377,INF204K01323
152750,INF959L01HN3
152782,INF0QA701870
100349,INF109K01431
135677,INF959L01CH6
118775,INF204K01J91
151234,INF277KA1695
151896,INF0QA701359
151237,INF277KA1729
141952,INF761K01DU9
146550,INF174V01747
152815,INF663L01Z03
102921,INF760K01175
151444,INF761K01FQ2
150385,INF251K01QW9
152848,INF0K1H01206
153307,INF0QA701AS3
103174,INF209K01BR9
127040,INF247L01437
119159,INF277K01QX2
104514,INF966L01325
103024,INF200K01305
130502,INF179KA1RZ8
105805,INF209K01EO0
150439,INF966L01AU8
153645,INF0GCD01842
119201,INF277K01MI2
149887,INF200KA19E0
100471,INF090I01171
148616,INF789F1AUP3
147704,INF247L01999
150570,
147750,INF582M01GA0
101161,INF204K01489
118276,INF760K01ED5
148734,INF00XX01903
152235,INF247L01BZ0
118616,INF754K01BT0
120492,INF192K01CC7
153627,INF192K01NM3
105001,INF903J01DT1
147945,INF194KB1AK6
154045,INF2JJD01128
151232,INF277KA1679
150817,INF760K01KI1
144906,INF680P01117
135680,INF959L01CL8
151380,INF00XX01CP4
102920,INF760K01167
141951,INF761K01DV7
118478,INF194K01Z51
141414,INF959L01CR5
101593,INF336L01024
129048,INF247L01478
108594,INF194K01391
153728,INF761K01GY4
101594,INF336L01016
150387,INF251K01QZ2
105875,INF740K01037
149766,INF205KA1460
150582,INF03VN01605
152407,INF0QA701748
112099,INF205K01320
150912,INF174V01BH3
148732,INF00XX01895
153910,INF0R8701392
119565,INF903J01PP3
151036,INF917K01FZ1
109831,INF966L01432
119133,INF666M01600
153099,INF666M01JH0
119720,INF200K01UH9
144309,INF761K01EK8
147184,INF00XX01135
119589,INF903J01NK9
141415,INF959L01CP9
144314,INF761K01EN2
148351,INF00XX01770
152816,INF663L01Y87
152383,INF663L01X88
151290,INF336L01QN5
152232,INF247L01BV9
118632,INF204K01XI3
144903,INF680P01083
101539,INF903J01173
100332,INF767K01097
119346,INF761K01645
152649,INF247L01CJ2
125495,INF200K01T36
154215,INF2JJD01177
120657,INF789F01UQ2
125352,INF846K01K19
135678,INF959L01CK0
150799,INF03VN01662
147706,INF247L01AB3
120826,INF966L01648
146769,INF336L01NZ6
102883,INF090I01205
151132,INF917K01PZ0
153964,
108597,INF194K01532
149104,INF174V01AS2
118826,INF769K01AY0
152822,INF00XX01CY6
118510,INF090I01IN1
152004,INF397L01JS1
153872,INF2F0001040
152129,INF251K01SS3
103616,INF200K01164
154102,INF666M01NM2
100177,INF966L01AA0
108465,INF109K01EP9
118989,INF179K01XQ0
110603,INF761K01108
145678,INF761K01EP7
145208,INF277K015O2
140227,INF843K01AP1
148990,INF109KC1R14
154268,INF2F0001503
152817,INF663L01Z11
144545,
133839,INF663L01FF1
125494,INF200K01T28
112090,INF174K01336
107352,INF205K01DO0
130499,INF179KA1RR5
100664,INF789F01869
